kodu,lõppseis,võõras,aasta,koduväravad,võõraväravad
Nõmme Kalju FC,1 - 1,Paide Linnameeskond,2019,1.0,1.0
Tartu JK Tammeka,2 - 2,JK Tallinna Kalev,2019,2.0,2.0
JK Narva Trans,3 - 2,Viljandi JK Tulevik,2019,3.0,2.0
FC Kuressaare,0 - 3,Tallinna FCI Levadia,2019,0.0,3.0
Tallinna FC Flora,3 - 0,Maardu Linnameeskond,2019,3.0,0.0
Paide Linnameeskond,2 - 0,Tartu JK Tammeka,2019,2.0,0.0
Maardu Linnameeskond,1 - 3,JK Narva Trans,2019,1.0,3.0
Viljandi JK Tulevik,0 - 3,Tallinna FCI Levadia,2019,0.0,3.0
FC Kuressaare,0 - 3,Tallinna FC Flora,2019,0.0,3.0
JK Tallinna Kalev,2 - 3,Nõmme Kalju FC,2019,2.0,3.0
Tartu JK Tammeka,2 - 0,Maardu Linnameeskond,2019,2.0,0.0
Paide Linnameeskond,1 - 0,JK Narva Trans,2019,1.0,0.0
Tallinna FCI Levadia,7 - 0,JK Tallinna Kalev,2019,7.0,0.0
Nõmme Kalju FC,7 - 2,FC Kuressaare,2019,7.0,2.0
Tallinna FC Flora,3 - 0,Viljandi JK Tulevik,2019,3.0,0.0
FC Kuressaare,0 - 1,JK Tallinna Kalev,2019,0.0,1.0
Tallinna FC Flora,0 - 1,Tartu JK Tammeka,2019,0.0,1.0
JK Narva Trans,1 - 3,Tallinna FCI Levadia,2019,1.0,3.0
Viljandi JK Tulevik,1 - 2,Paide Linnameeskond,2019,1.0,2.0
Maardu Linnameeskond,1 - 4,Nõmme Kalju FC,2019,1.0,4.0
Tartu JK Tammeka,6 - 4,JK Narva Trans,2019,6.0,4.0
JK Tallinna Kalev,0 - 2,Tallinna FC Flora,2019,0.0,2.0
Maardu Linnameeskond,2 - 1,FC Kuressaare,2019,2.0,1.0
Tallinna FCI Levadia,3 - 2,Paide Linnameeskond,2019,3.0,2.0
Nõmme Kalju FC,2 - 2,Viljandi JK Tulevik,2019,2.0,2.0
FC Kuressaare,0 - 1,Tartu JK Tammeka,2019,0.0,1.0
